metro,location,state,area_type,status_signal,archetype,archetype_rule,status_label,wealth,home_cost,education,occupation,wealth_gap,signal_strength,composite_score
LA,"Agoura Hills, California",,,69.8,Affluent,affluent_residual,Affluent & Ascendant,74.04029382333404,43.842168194499806,63.66833333333334,85.73614819876035,0.3559906216725244,strong,69.8
LA,"Alhambra, California",,,42.1,Working Class,working_class_low_wealth,Working Community,52.75911012396084,34.294789707622904,27.69111111111111,48.98781193722665,0.534111197733918,moderate,42.1
LA,"Altadena, California",,,61.6,Affluent,affluent_residual,Affluent & Ascendant,64.85862038978438,56.21334804336834,55.09111111111112,64.67979969557256,0.20430352129260615,strong,61.6
LA,"Arcadia, California",,,57.6,Affluent,affluent_residual,Affluent & Ascendant,57.36146182752931,57.88540215932403,53.168888888888894,62.201527670514054,0.5333751298968321,strong,57.6
LA,"Arts District, Los Angeles, California",,,72.3,Affluent,affluent_residual,Affluent & Ascendant,90.87085831333187,46.36287817595566,55.74000000000001,66.47348457693283,0.7827283517573697,strong,72.3
LA,"Atwater Village, Los Angeles, California",,,56.2,Affluent,affluent_residual,Affluent & Ascendant,71.8814571083229,54.76861246281448,45.69888888888889,32.63225358530643,0.3568125951053414,strong,56.2
LA,"Bel Air, Los Angeles, California",,,91.7,Affluent,affluent_residual,Affluent & Ascendant,93.53470932137142,100.0,100.0,72.82449947768691,0.8502700989834111,dominant,91.7
LA,"Belmont Shore, Long Beach, California",,,60.6,Affluent,affluent_residual,Affluent & Ascendant,61.38495354210472,59.97168116201193,59.30444444444444,60.53520009402362,0.3271745067053975,strong,60.6
LA,"Beverly Hills, California",,,45.0,Working Class,working_class_low_wealth,Working Community,,0.0,73.69166666666668,80.28784595686004,,moderate,45.0
LA,"Boyle Heights, Los Angeles, California",,,20.5,Working Class,working_class_low_wealth,Working Community,26.289201070693558,28.889660088068254,2.6333333333333337,16.952940958245996,0.25508910745235663,faint,20.5
LA,"Brentwood, Los Angeles, California",,,98.7,Established,established_credential_wealth,Established Prestige,99.25703404029417,100.0,100.0,96.04412035333087,0.9953592231665428,dominant,98.7
LA,"Burbank, California",,,41.9,Working Class,working_class_low_wealth,Working Community,45.988315520901544,27.975334423451997,52.42,41.32643951792888,0.8263200127806426,moderate,41.9
LA,"Calabasas, California",,,85.0,Affluent,affluent_residual,Affluent & Ascendant,86.77446313532135,76.50026444722951,79.04833333333335,93.45697631341842,0.6788645520117597,dominant,85.0
LA,"Canoga Park, Los Angeles, California",,,20.6,Working Class,working_class_low_wealth,Working Community,20.0467587553891,23.216799749040337,11.877777777777778,29.22867811068242,0.18379832636698543,faint,20.6
LA,"Cerritos, California",,,63.6,Affluent,affluent_residual,Affluent & Ascendant,67.71335498359184,44.20587785114273,59.33444444444444,73.11088812568102,0.19557155073394902,strong,63.6
LA,"Chatsworth, Los Angeles, California",,,40.2,Working Class,working_class_low_wealth,Working Community,46.11290130453985,33.885616343899606,29.12,51.06877301999252,0.2597331379972001,moderate,40.2
LA,"Chinatown, Los Angeles, California",,,37.3,Working Class,working_class_low_wealth,Working Community,36.78826023924001,41.90743488207978,25.20388888888889,47.09367458737736,0.39200014023347673,moderate,37.3
LA,"Compton, California",,,19.5,Working Class,working_class_low_wealth,Working Community,21.1322386117478,26.333589445549887,7.564444444444446,20.372146556685212,0.1617927118994905,faint,19.5
LA,"Crenshaw, Los Angeles, California",,,52.1,Transitional,transitional_cost_wealth_gap,In Transition,42.68914237679984,53.96542030439468,64.68277777777779,58.77190681078811,0.21007034247165826,strong,52.1
LA,"Culver City, California",,,66.6,Affluent,affluent_residual,Affluent & Ascendant,74.66676878809949,67.30144104796875,52.63333333333333,61.78838385176655,0.3718748485252761,strong,66.6
LA,"Downey, California",,,37.3,Working Class,working_class_low_wealth,Working Community,50.34650472225607,36.911478626248424,18.168888888888887,32.86109305267597,0.3915180897242065,moderate,37.3
LA,"Downtown Los Angeles, California",,,22.3,Working Class,working_class_low_wealth,Working Community,,0.0,32.90222222222223,44.442800788954635,,faint,22.3
LA,"Eagle Rock, Los Angeles, California",,,63.1,Affluent,affluent_residual,Affluent & Ascendant,76.88192278646376,50.045438449465316,49.17444444444445,55.5910197674046,0.5687473024162791,strong,63.1
LA,"East Hollywood, Los Angeles, California",,,33.9,Working Class,working_class_low_wealth,Working Community,33.55168150239678,45.36772814319654,23.400555555555556,29.59278631710682,0.301297780479857,moderate,33.9
LA,"East Los Angeles, California",,,19.2,Working Class,working_class_low_wealth,Working Community,21.271309490825967,29.662543108434473,4.249444444444444,17.27156357574314,0.07412984994380692,faint,19.2
LA,"Echo Park, Los Angeles, California",,,35.9,Working Class,working_class_low_wealth,Working Community,28.74424874876983,37.36106417404315,40.38722222222222,43.9653572684299,0.1700532185507076,moderate,35.9
LA,"El Monte, California",,,26.5,Working Class,working_class_low_wealth,Working Community,38.95993148649932,30.11212865622921,7.844444444444444,16.559340994014363,0.5889889464809841,moderate,26.5
LA,"El Segundo, California",,,67.0,Affluent,affluent_residual,Affluent & Ascendant,64.59535381632404,81.54168441014123,66.90333333333334,61.50348957149115,0.17118390373027464,strong,67.0
LA,"El Sereno, Los Angeles, California",,,31.5,Working Class,working_class_low_wealth,Working Community,34.029434506198,30.47583831287214,25.902222222222225,34.65843041794058,0.2680456911535378,moderate,31.5
LA,"Elysian Valley, Los Angeles, California",,,34.0,Working Class,working_class_low_wealth,Working Community,43.987936989437905,37.926834751043266,17.77388888888889,25.993194584848833,0.3669447969323906,moderate,34.0
LA,"Encino, Los Angeles, California",,,79.5,Affluent,affluent_residual,Affluent & Ascendant,84.43661442833086,68.97854668693337,79.28055555555557,76.52944515017356,0.7349354455507767,dominant,79.5
LA,"Franklin Village, Los Angeles, California",,,61.1,Transitional,transitional_cost_wealth_gap,In Transition,53.63483543624433,89.12402044654453,18.25277777777778,39.08201840894149,0.7653689346191945,strong,61.1
LA,"Frogtown, Los Angeles, California",,,12.5,Working Class,working_class_low_wealth,Working Community,,0.0,17.77388888888889,25.993194584848833,,faint,12.5
LA,"Gardena, California",,,32.6,Working Class,working_class_low_wealth,Working Community,38.796522846698835,29.298833451791552,20.85055555555556,38.95276183554645,0.307794702613353,moderate,32.6
LA,"Glassell Park, Los Angeles, California",,,38.2,Working Class,working_class_low_wealth,Working Community,41.976769836769655,45.55463449452693,26.621111111111112,32.66323987017767,0.2950539036760676,moderate,38.2
LA,"Glendale, California",,,29.8,Working Class,working_class_low_wealth,Working Community,27.27180634104875,45.57484058656265,16.53666666666667,27.34217740273453,0.2286378225600925,moderate,29.8
LA,"Granada Hills, Los Angeles, California",,,56.3,Affluent,affluent_residual,Affluent & Ascendant,64.22364418436135,39.39682794664177,41.035555555555554,66.65022518681054,0.3552166864603668,strong,56.3
LA,"Hancock Park, Los Angeles, California",,,84.7,Affluent,affluent_residual,Affluent & Ascendant,90.1436415932578,100.0,70.37611111111111,75.35087290332045,0.7642898250764267,dominant,84.7
LA,"Hawthorne, California",,,47.4,Affluent,affluent_residual,Affluent & Ascendant,63.58624875500221,37.89652561298969,21.748333333333335,43.9107252361476,0.3939445293030205,moderate,47.4
LA,"Hermosa Beach, California",,,82.8,Affluent,affluent_residual,Affluent & Ascendant,82.2322610802685,93.82193684484903,73.97333333333333,84.7058399805262,0.563697351546683,dominant,82.8
LA,"Hidden Hills, California",,,78.4,Affluent,affluent_residual,Affluent & Ascendant,79.09782791792883,100.0,67.88555555555556,71.14074362468367,0.4842240282606815,dominant,78.4
LA,"Highland Park, Los Angeles, California",,,65.8,Affluent,affluent_residual,Affluent & Ascendant,71.90761025552065,55.33943456282352,83.04888888888891,42.78516295025729,0.3019165859942325,strong,65.8
LA,"Hollywood Hills, Los Angeles, California",,,78.5,Affluent,affluent_residual,Affluent & Ascendant,87.01235238522924,85.09290508541872,72.32166666666666,60.37356238802519,0.6848962165217413,dominant,78.5
LA,"Hollywood, Los Angeles, California",,,37.6,Working Class,working_class_low_wealth,Working Community,30.246511262290777,44.03917759184806,34.155,48.40798156015547,0.1883321884532018,moderate,37.6
LA,"Hyde Park, Los Angeles, California",,,52.1,Transitional,transitional_cost_wealth_gap,In Transition,42.68914237679984,53.96542030439468,64.68277777777779,58.77190681078811,0.21007034247165826,strong,52.1
LA,"Inglewood, California",,,41.9,Affluent,affluent_residual,Affluent & Ascendant,56.570761200000305,47.1559672883576,26.860555555555557,19.945387556368864,0.8868451554798137,moderate,41.9
LA,"Koreatown, Los Angeles, California",,,27.5,Working Class,working_class_low_wealth,Working Community,27.738343942162704,33.350154904953065,19.359444444444446,28.041232784682567,0.3204358583931244,moderate,27.5
LA,"La Canada Flintridge, California",,,86.8,Affluent,affluent_residual,Affluent & Ascendant,89.00681318739196,100.0,86.48222222222223,72.33404425486536,0.7354656240994799,dominant,86.8
LA,"La Crescenta, California",,,67.7,Affluent,affluent_residual,Affluent & Ascendant,70.60906241905325,63.12888304259293,62.76666666666667,69.45586107604363,0.268992000697643,strong,67.7
LA,"La Mirada, California",,,38.9,Working Class,working_class_low_wealth,Working Community,50.08990450071052,33.48654602619417,25.06666666666667,40.14045885621228,0.19625395494456888,moderate,38.9
LA,"Lakewood, California",,,42.9,Working Class,working_class_low_wealth,Working Community,51.606715918392936,32.845002604060106,39.20888888888889,43.88130407727866,0.11153904575451738,moderate,42.9
LA,"Larchmont Village, Los Angeles, California",,,40.6,Working Class,working_class_low_wealth,Working Community,,0.0,69.1738888888889,69.25889413277305,,moderate,40.6
LA,"Leimert Park, Los Angeles, California",,,55.2,Affluent,affluent_residual,Affluent & Ascendant,58.58929749940394,51.939759577813916,56.419444444444444,49.042906246296084,0.9303616182679904,strong,55.2
LA,"Little Tokyo, Los Angeles, California",,,50.7,Affluent,affluent_residual,Affluent & Ascendant,57.10912188115836,30.142437794282788,38.378888888888895,64.02503963352363,2.127873153887083,strong,50.7
LA,"Long Beach, California",,,34.3,Working Class,working_class_low_wealth,Working Community,31.95228370191079,21.312375574673887,41.223888888888894,51.80511981433842,0.27727066614525725,moderate,34.3
LA,"Los Feliz, Los Angeles, California",,,74.5,Affluent,affluent_residual,Affluent & Ascendant,76.53075073615103,100.0,69.215,55.85287917823803,0.41913597431243305,strong,74.5
LA,"Manhattan Beach, California",,,90.0,Established,established_credential_wealth,Established Prestige,86.31678904145822,100.0,94.20444444444445,83.57877809213686,0.6672602588788784,dominant,90.0
LA,"Mar Vista, Los Angeles, California",,,43.0,Working Class,working_class_low_wealth,Working Community,50.54528269629881,33.32994881291735,38.611111111111114,46.99447044543474,0.46377365028129586,moderate,43.0
LA,"Marina del Rey, Los Angeles, California",,,63.9,Affluent,affluent_residual,Affluent & Ascendant,71.07429394578746,41.806404421901185,68.855,59.311192561293105,0.2865828355733016,strong,63.9
LA,"Mid-City, Los Angeles, California",,,29.5,Working Class,working_class_low_wealth,Working Community,31.997641684995322,40.109092690900845,8.485555555555557,34.373195611727716,0.11163421879971928,moderate,29.5
LA,"Miracle Mile, Los Angeles, California",,,57.1,Working Class,working_class_low_wealth,Working Community,53.21517747960954,49.48471939547414,62.2938888888889,71.50944184491978,0.3089134411360307,strong,57.1
LA,"Monrovia, California",,,41.7,Working Class,working_class_low_wealth,Working Community,43.06570445756876,32.5520142695422,40.04,55.32373683415349,0.1298046850963133,moderate,41.7
LA,"Montebello, California",,,24.6,Working Class,working_class_low_wealth,Working Community,33.14692829589826,29.94542839693453,7.001111111111111,18.965765247410815,0.40401146203558197,faint,24.6
